name,address,url,AstraZeneca - Dose 1,AstraZeneca - Dose 2,Pfizer - Dose 1,Pfizer - Dose 2,Moderna - Dose 1,Moderna - Dose 2
Bradford College,"Great Horton Road, Bradford, BD7 1AY",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/O9G5U,false,false,true,true,false,false
Jacob's Well,"Nelson Street, Bradford, BD1 5AX",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/M6F1B,true,true,false,false,false,false
93 St James Street,"Burnley, BB11 1PY",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/CWSC01,true,true,true,true,false,false
The Pharmacy Group - Chapeltown,"The Reginald Centre, 263 Chapeltown, Leeds, LS7 3EX",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/P0Y8F,false,false,false,false,false,false
Didsbury Street,"Blackburn, BB1 3JL",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/DSM001,true,true,true,true,false,false
Etihad Mass Vaccination Centre,"Tennis Centre, Sport City Way, Manchester, M11 3DU",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/C4Y2X,true,true,true,true,false,false
St. John's Shopping Centre,"Preston, PR1 1FB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/O2A4C,true,true,false,false,true,true
Belle Vue Sports Village,"Car Park entrance G, Pink Bank Lane, Manchester, M12 4TF",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/F8C0J,true,true,true,true,false,false
Friday Street,"Chorley, PR6 0AA",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/FSCP01,true,true,true,true,false,false
Askham Bar Vaccination Centre,"Moor Lane car park, Moor Lane, York, York, YO24 1LW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/RX37E,false,false,false,false,false,false
"Raphaels House, Victoria Hospital","",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/FBKP8,false,false,false,false,false,false
Late Night Pharmacy Woolwich,"Ground floor, Equitable House, Lower, 10 Woolwich New Road, London, SE18 6AB",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/FA716,true,true,false,false,false,false
Redbridge Town Hall,"High Road, ilford, Redbridge, IG1 1DD",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/H0MOU,true,true,true,true,false,false
Junction Pharmacy,"222 Coldharbour Lane, Brixton, London, SW9 8SA",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/M9X1G,true,false,false,false,false,false
Queens (Rosendale road),"107a Rosendale Road, London, SE21 8EZ",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/D3F7M,true,false,false,false,false,false
Evergreen Surgery,"1 Smythe Close, Edmonton, London, N9 0TW",https://www.nhs.uk/service-search/find-a-walk-in-coronavirus-covid-19-vaccination-site/profile/B1J6G,true,true,true,true,false,false
