Site name,Address,Postcode,,
AFC Wimbledon,"Plough Lane, London",SW17 0BL,,
Airedale General Hospital,"PHARMACY DEPARTMENT
SKIPTON ROAD
STEETON KEIGHLY",BD20 6TD,,
Alastair Farquhason Centre,"Thurrock Hospital, Long Lane",RM16 2PX,,
"Alban Arena,Civic Centre - to be replaced by St Albans Bus Vac Centre (formerly St Peters)",St Alban's,AL1 3LD,,
Alderley Park Conference centre,Congleton Road,SK10 4TG,,
Angel Centre,"Angel Lane, Tonbridge",TN9 1SF,,
Artrix Centre,Bromsgrove ,B60 1GN,,
Ashton Gate Stadium,"Ashton Gate, Bristol",BS3 2ES,,
"Askham Bar
Park and ride at Askham Bar","Tadcaster Road, York",YO24 1LW,,
Aston Villa FC,"Villa Park, 218 Witton Lane Birmingham",B6 6HE,,
Avanti Meadows School - to be replaced by Bishop Stortford FC,"
Farnham Road, Bishops Stortford, Hertfordshire, ",CM23 1JJ,,
Basingstoke Fire Station,"W Ham Cl, Basingstoke ",RG22 6PH,,
Bath Racecourse,"Bath Racecourse, Lansdown, Bath",BA1 9BU,,
Battersea Arts Centre,"Lavender Hill, London",SW11 5TN,,
Bedford Heights,"Brickhill Drive, Bedford",MK41 7PH,,
Biggleswade Community Hospital ,"Potton Road, Biggleswade",SG18 0EJ,,
Black Country Living Museum ,"Tipton Road, Dudley",DY1 4SQ,,
Blackpool Winter Gardens,"Winter Gardens, 97 Church Street, Blackpool, Lancashire,",FY1 1HL,,
Bournemouth International Centre,"Exeter Road, Bournemouth ",BH2 5BH,,
Brighton Centre,"Kings Road, Brighton",BN1 2GR,,
Bromley Civic Centre,"Stockwell Close, Bromley",BR1 3UH,,
Business Design Centre,"52 Upper St, The Angel Islington, London",N1 0QH,,
Centrale Shopping Centre,"21 North End, Croydon",CR0 1TY,,
Centre Court Shopping Centre,"4 Queens Road, Wimbledon",SW19 8YA,,
Centre for Life,"Times Square, Newcastle upon Tyne",NE1 4EP,,
Chelmsford Race Course ,Chelmsford,CM3 1QP,,
Cherry Hinton Village Leisure Centre,Colville Rd,CB1 9EJ,,
Chester Race Course,Watergate Square,CH12LY,,
Chesterton Indoor Bowls Club,"Logans Way, Cambridge",CB4 1BL,,
Chevington Close Vaccination Centre  -   (Former) Riverwalk School,"Mayfield Road, Bury St Edmunds",IP33 3FT,,
Chingford Leisure Centre,Chingford Leisure Centre,E4 9EY,,
Clacton Hospital,"Clacton & District Hospital, Tower Road, Clacton-On-Sea",CO15 1LH,,
Cliff Pavillion,"Station Road, Westcliff-on-Sea",SS0 7RA,,
Colchester Football Club,"Jobserve Community Stadium, United Way Mile End, Colchester",CO4 5UP,,
College Heath Road - Former Forrest Heath Offices,College Heath Rd Mildenhall ,IP28 7EY,,
Compass Centre,"Bath Road, Heathrow",TW6 2GW,,
Connaught Hall,"Station Road, Attleborough",NR17 2AS,,
Corn Exchange Theatre,"Tuesday Market Place, Kings Lynn",PE30 1JW,,
CP House,"97-107 Uxbridge Road, Ealing",W5 5TL,,
Crawley Hospital,"W Green Dr, Crawley ",RH11 7DH,,
Crystal Palace FC,"Selhurst Park Stadium, Holmesdale Road, London",SE25 6PU,,
Darlington Mowden Park (Northern Echo Arena),"Mowden Park, Neasham Road, Darlington",DL2 1DL,,
Debenhams Folca Centre,"48-66 Sandgate Road, Folkestone",CT20 1DN,,
Derby Arena,"Royal Way, Derby",DE24 8JB,,
Dugdale Centre," 39 London Road, Enfield",EN2 6DS,,
Durnham Arnison VC (Northumbria Water HQ) ,"Boldon House, Wheatlands Way, Durham, County Durham",DH1 5FA,,
DW Sports Medway Unit 44 Pentagon Shopping Centre Chatham),Pentagon Centre Chatham,ME4 4HP,,
East of England Showground,Oundle Road Peterborough,PE2 6XE,,
Edgbaston Cricket Ground,"Edgbaston Road, Birmingham",B5 7QU,,
Elgar House,Holmer Road Hereford,HR4 9BD,,
Elland Road Stadium,Leeds,LS11 0ES,,
ETC Venues,"86 Edgware Rd, Marble Arch, Westminster",W2 2EA,,
Etihad Tennis centre Manchester,"Sportcity Gate 2 Alan Turing Way, Manchester ",M11 3BS,,
Excel Centre (London Nightingale) (Being replaced by Westfield 2),"Door N8, Excel traffic office, Sandstone lane",E16 1FR,,
"FlyDSA Arena, Sheffield being replaced by Sheffield Longley Lane ","A6102 Broughton Lane, Sheffield",S9 2DF,,
Former Da Vinci Grammar School - Letchworth,Broadway,SG6 3PA,,
"Former Wickes Store
Mansfield VC","134 Chesterfield Road South, Mansfield",NG19 7AP,,
Fountain Leisure Centre,"658 Chiswick High Road, Brentford",TW8 0HJ,,
Francis Crick Institute,"1 Midland Road, London",NW1 1AT,,
Gainsborough Sports Centre,"5 Brazier’s Wood Rd, Ipswich",IP3 0SP,,
Glaxo Sports Centre Ulverston,"North Lonsdale Road, Ulverston",LA12 9DR,,
Grafton Centre ,"Unit 30, Grafton Centre, Cambridge",CB1 1PS,,
Greendale Business Park (replacing Westpoint),Woodbury Salterton,EX5 1EW,,
Guttman Centre (Mandeville Stadium) replacing NBU,"Guttman Road, ",HP21 9PP,,
Guys Hospital,"Great Maze Pond, London",SE1 7RH,,
"Hall 1, Stoneleigh Park Agricultural Centre",Kenilworth,CV8 2LG,,
"Hamble House, St James Hospital site ","Nelson Drive, Locksway Road. Southsea",PO4 8FE,,
Harlequins RFC,"The Stoop, Langhorn Drive, Twickenham",TW2 7SX,,
Harlow Sports Centre ,"Second Av, Harlow, Essex ",CM20 3DT,,
